,,
Volcano Name,Latitude,Longitude
Kana Keoki,-8.75,157.03
Coleman Seamount,-8.841,157.16
Kavachi,-8.991,157.979
Unnamed,-8.92,158.03
Gallego,-9.35,159.73
Savo,-9.13,159.82
Tinakula,-10.386,165.804
Motlav,-13.67,167.67
Suretamatai,-13.8,167.47
Gaua,-14.27,167.5
Mere Lava,-14.45,168.05
Ambae,-15.389,167.835
Ambrym,-16.25,168.12
Lopevi,-16.507,168.346
Epi,-16.68,168.37
Kuwae,-16.829,168.536
NE Shepherd Islands,-16.992,168.592
North Vate,-17.47,168.353
Traitor's Head,-18.754,169.238
Yasur,-19.532,169.447
Aneityum,-20.2,169.78
Eastern Gemini Seamount,-20.98,170.28
Matthew Island,-22.33,171.32
Hunter Island,-22.4,172.05
Newer Volcanics Province,-37.77,142.5
Narcondum,13.43,94.28
Barren Island,12.278,93.858
Seulawah Agam,5.448,95.658
Peuet Sague,4.914,96.329
"Telong, Bur ni",4.769,96.821
Singkut,3.248,98.501
Sinabung,3.17,98.392
Toba,2.58,98.83
Sibualbuali,1.556,99.255
Lubukraya,1.478,99.209
Sorikmarapi,0.686,99.539
Malintang,0.47,99.67
Talakmau,0.079,99.98
Sarik-Gajah,0.074,100.189
Marapi,-0.38,100.474
Tandikat-Singgalang,-0.39,100.331
Talang,-0.979,100.681
Kerinci,-1.697,101.264
Sumbing,-2.414,101.728
Hululais,-3.247,102.239
"Daun, Bukit",-3.38,102.37
Kaba,-3.522,102.615
Dempo,-4.016,103.121
Patah,-4.257,103.306
Ranau,-4.871,103.925
Sekincau Belirang,-5.107,104.317
Suoh,-5.25,104.27
Hulubelu,-5.334,104.59
Rajabasa,-5.78,105.625
Krakatau,-6.102,105.423
Pulosari,-6.343,105.978
Karang,-6.268,106.05
Perbakti-Gagak,-6.75,106.7
Salak,-6.72,106.73
Gede-Pangrango,-6.77,106.965
Patuha,-7.162,107.4
Tangkuban Parahu,-6.77,107.6
Papandayan,-7.32,107.73
Kendang,-7.245,107.709
Guntur,-7.143,107.84
Tampomas,-6.77,107.95
Galunggung,-7.25,108.058
Talagabodas,-7.208,108.07
Cereme,-6.892,108.4
Slamet,-7.242,109.208
Dieng Volcanic Complex,-7.2,109.879
Sundoro,-7.3,109.992
Sumbing,-7.384,110.07
Ungaran,-7.18,110.33
Telomoyo,-7.362,110.4
Merbabu,-7.454,110.44
Merapi,-7.54,110.446
Muria,-6.62,110.88
Lawu,-7.625,111.192
Wilis,-7.808,111.758
Kelut,-7.93,112.308
Kawi-Butak,-7.92,112.45
Arjuno-Welirang,-7.733,112.575
Penanggungan,-7.616,112.62
Semeru,-8.108,112.922
Tengger Caldera,-7.942,112.95
Lamongan,-7.979,113.342
Iyang-Argapura,-7.97,113.57
Raung,-8.119,114.056
Ijen,-8.058,114.242
Baluran,-7.85,114.37
Buyan-Bratan,-8.283,115.133
Batur,-8.242,115.375
Agung,-8.343,115.508
Rinjani,-8.42,116.47
Tambora,-8.25,118
Sangeang Api,-8.2,119.07
"Sano, Wai",-8.724,119.986
Ranakah,-8.62,120.52
Inierie,-8.875,120.95
Inielika,-8.73,120.98
Ebulobo,-8.82,121.18
Iya,-8.897,121.645
Sukaria Caldera,-8.792,121.77
Kelimutu,-8.77,121.82
Paluweh,-8.32,121.708
Egon,-8.676,122.455
Ilimuda,-8.479,122.761
Lewotobi,-8.542,122.775
Leroboleng,-8.365,122.833
Iliboleng,-8.342,123.258
Lewotolo,-8.272,123.505
Ililabalekan,-8.55,123.38
Iliwerung,-8.53,123.57
"Tara, Batu",-7.791,123.585
Sirung,-8.508,124.13
Gunungapi Wetar,-6.642,126.65
Wurlali,-7.125,128.675
Teon,-6.976,129.144
Nila,-6.73,129.5
Serua,-6.312,130.017
Manuk,-5.543,130.303
Banda Api,-4.523,129.881
Colo,-0.162,121.601
Ambang,0.75,124.42
Soputan,1.112,124.737
Riendengan-Sempu,1.13,124.758
Tondano Caldera,1.23,124.83
Lokon-Empung,1.358,124.792
Mahawu,1.352,124.865
Klabat,1.454,125.031
Tangkoko-Duasudara,1.518,125.185
Ruang,2.3,125.37
Karangetang,2.781,125.407
Banua Wuhu,3.138,125.491
Awu,3.689,125.447
Tarakan,1.83,127.83
Dukono,1.693,127.894
Tobaru,1.63,127.67
Ibu,1.488,127.63
Gamkonora,1.38,127.53
Todoko-Ranu,1.25,127.47
Jailolo,1.08,127.439
Hiri,0.9,127.32
Gamalama,0.8,127.33
Tidore,0.658,127.4
Mare,0.57,127.4
Moti,0.454,127.411
Makian,0.32,127.4
Tigalalu,0.07,127.42
Amasing,-0.53,127.48
Bibinoi,-0.761,127.725
